pilotId,portCode,portName,pilotName,pilotCode,pilotType,pilotClass,certificationLevel,experienceYears,maxVesselGT,maxVesselLOA,nightOperations,adverseWeather,canTrain,licenseIssueDate,licenseExpiryDate,status,languages,certifications,certificationsCount
1,SGSIN,Port of Singapore,Kumar Ng,SGSIN-DS-2002-0001,Deep Sea,Class III,Class D,5,20000,200,FALSE,FALSE,FALSE,2002-06-02,2026-11-20,Active,"English, Mandarin, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; Bulk Carrier (Capesize); LPG Carrier Operations,6
2,SGSIN,Port of Singapore,Kai Wen Ng,SGSIN-CP-1998-0002,Canal,Class III,Class C,2,40000,250,TRUE,FALSE,FALSE,1998-12-16,2027-04-04,Active,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; LNG Carrier Operations; Heavy Weather Operations; Tug and Tow Operations,7
3,SGSIN,Port of Singapore,Wei Ming Ng,SGSIN-RP-2021-0003,River,Class II,Class B,5,75000,300,TRUE,FALSE,FALSE,2021-05-18,2026-05-15,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); STS Transfer Operations; Offshore Support Vessels; High-Speed Craft,6
4,SGSIN,Port of Singapore,Wei Ming Ng,SGSIN-DS-1998-0004,Deep Sea,Junior,Class D,1,20000,200,FALSE,FALSE,FALSE,1998-03-17,2025-04-24,Active,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations,4
5,SGSIN,Port of Singapore,Kumar Teo,SGSIN-CP-1996-0005,Canal,Class III,Class C,6,40000,250,TRUE,FALSE,FALSE,1996-02-10,2026-07-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Container Vessel (ULCV); Cruise Ship Operations; Bulk Carrier (Capesize); Electronic Chart Display (ECDIS),10
6,SGSIN,Port of Singapore,Zhi Hao Chan,SGSIN-DS-2012-0006,Deep Sea,Senior,Unlimited,33,Unlimited,Unlimited,TRUE,TRUE,TRUE,2012-02-19,2028-01-05,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; Night Operations - All Vessels; Restricted Visibility Operations; Human Factors Training; Ship Handling Simulator Training,9
7,SGSIN,Port of Singapore,Arjun Lee,SGSIN-CP-1993-0007,Canal,Senior,Unlimited,28,Unlimited,Unlimited,TRUE,TRUE,TRUE,1993-12-12,2026-09-10,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; LNG Carrier Operations; Dangerous Goods Vessels; Car Carrier/RoRo; Emergency Response,12
8,SGSIN,Port of Singapore,Wei Ming Chua,SGSIN-DS-1995-0008,Deep Sea,Senior,Class A,21,150000,366,TRUE,TRUE,TRUE,1995-10-18,2027-02-10,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Night Operations - All Vessels; Passenger Vessel; Tug and Tow Operations; Ice Navigation,12
9,SGSIN,Port of Singapore,Kai Wen Lim,SGSIN-HP-1996-0009,Harbor,Senior,Class A,14,150000,366,TRUE,TRUE,TRUE,1996-03-17,2028-11-13,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Night Operations - All Vessels; Chemical Tanker Handling; Dangerous Goods Vessels; Bridge Resource Management (BRM),10
10,SGSIN,Port of Singapore,Kumar Wong,SGSIN-DS-2011-0010,Deep Sea,Class I,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,2011-09-24,2029-09-01,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; Cruise Ship Operations; Tug and Tow Operations; Ice Navigation; Global Maritime Distress Safety System (GMDSS),10
11,SGSIN,Port of Singapore,Arjun Teo,SGSIN-CP-2020-0011,Canal,Senior,Unlimited,30,Unlimited,Unlimited,TRUE,TRUE,TRUE,2020-11-27,2030-02-03,Training,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; Container Vessel (ULCV); Naval Vessels; Bulk Carrier (Capesize); Night Operations - All Vessels,12
12,SGSIN,Port of Singapore,Suresh Lim,SGSIN-CP-1993-0012,Canal,Senior,Unlimited,18,Unlimited,Unlimited,TRUE,TRUE,TRUE,1993-08-24,2026-02-08,Active,"English, Mandarin, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Container Vessel (ULCV); Naval Vessels; Heavy Weather Operations; Ice Navigation; Offshore Support Vessels,12
13,SGSIN,Port of Singapore,Arjun Chua,SGSIN-DS-2012-0013,Deep Sea,Class III,Class C,4,40000,250,TRUE,FALSE,FALSE,2012-02-19,2027-04-20,On Leave,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; VLCC/ULCC Handling,5
14,SGSIN,Port of Singapore,Kai Wen Lee,SGSIN-HP-2006-0014,Harbor,Senior,Unlimited,23,Unlimited,Unlimited,TRUE,TRUE,TRUE,2006-08-25,2026-07-17,On Leave,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; Night Operations - All Vessels; Ice Navigation; Dangerous Goods Vessels; Bulk Carrier (Capesize),12
15,SGSIN,Port of Singapore,Rajesh Lee,SGSIN-CP-2013-0015,Canal,Senior,Unlimited,21,Unlimited,Unlimited,TRUE,TRUE,TRUE,2013-04-03,2030-10-11,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Tug and Tow Operations; Passenger Vessel; Medical First Aid; Automatic Radar Plotting Aid (ARPA),9
16,SGSIN,Port of Singapore,Wei Ming Tan,SGSIN-RP-1993-0016,River,Class I,Unlimited,20,Unlimited,Unlimited,TRUE,TRUE,TRUE,1993-01-11,2028-04-15,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Dangerous Goods Vessels; LNG Carrier Operations; Restricted Visibility Operations; Tug and Tow Operations; Medical First Aid,10
17,SGSIN,Port of Singapore,Suresh Wong,SGSIN-HP-1998-0017,Harbor,Junior,Class C,1,40000,250,TRUE,FALSE,FALSE,1998-03-20,2028-09-08,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; STS Transfer Operations,5
18,SGSIN,Port of Singapore,Kumar Lee,SGSIN-DS-1997-0018,Deep Sea,Senior,Unlimited,23,Unlimited,Unlimited,TRUE,TRUE,TRUE,1997-10-02,2027-06-15,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Container Vessel (ULCV); Bulk Carrier (Capesize); STS Transfer Operations; Automatic Radar Plotting Aid (ARPA),10
19,SGSIN,Port of Singapore,Zhi Hao Wong,SGSIN-DS-2024-0019,Deep Sea,Class I,Class B,14,75000,300,TRUE,FALSE,TRUE,2024-07-24,2028-06-28,Training,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels; Bulk Carrier (Capesize); Naval Vessels; Electronic Chart Display (ECDIS); Port State Control Procedures,9
20,SGSIN,Port of Singapore,Suresh Ong,SGSIN-DS-2021-0020,Deep Sea,Class II,Class B,4,75000,300,TRUE,FALSE,FALSE,2021-10-25,2025-04-12,On Leave,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; Emergency Response; Heavy Weather Operations,6
21,SGSIN,Port of Singapore,Arjun Goh,SGSIN-HP-2005-0021,Harbor,Class II,Class A,8,150000,366,TRUE,TRUE,FALSE,2005-03-09,2026-11-18,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; LPG Carrier Operations; Environmental Compliance; Medical First Aid; ISPS Security Awareness,8
22,SGSIN,Port of Singapore,Wei Ming Lee,SGSIN-RP-2023-0022,River,Class III,Class C,3,40000,250,TRUE,FALSE,FALSE,2023-01-07,2030-04-22,Active,"English, Mandarin, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Chemical Tanker Handling; Dangerous Goods Vessels; Restricted Visibility Operations,7
23,SGSIN,Port of Singapore,Arjun Tan,SGSIN-DS-2023-0023,Deep Sea,Senior,Unlimited,27,Unlimited,Unlimited,TRUE,TRUE,TRUE,2023-07-28,2026-07-15,Active,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; STS Transfer Operations; Bulk Carrier (Capesize); Naval Vessels; Night Operations - All Vessels,11
24,SGSIN,Port of Singapore,Kai Wen Teo,SGSIN-RP-1997-0024,River,Class II,Class C,4,40000,250,TRUE,FALSE,FALSE,1997-09-10,2027-08-01,Active,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Dangerous Goods Vessels; Night Operations - All Vessels; Tug and Tow Operations; Container Vessel (ULCV),7
25,SGSIN,Port of Singapore,Wei Ming Lim,SGSIN-RP-2005-0025,River,Class III,Class C,2,40000,250,TRUE,FALSE,FALSE,2005-08-03,2030-09-11,Active,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; Passenger Vessel; Ice Navigation; Emergency Response,7
26,SGSIN,Port of Singapore,Anand Tan,SGSIN-CP-2021-0026,Canal,Class I,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,2021-03-19,2030-06-01,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; Cruise Ship Operations; Car Carrier/RoRo; Offshore Support Vessels; LPG Carrier Operations,11
27,SGSIN,Port of Singapore,Kai Wen Chua,SGSIN-CP-2023-0027,Canal,Class I,Unlimited,20,Unlimited,Unlimited,TRUE,TRUE,TRUE,2023-01-07,2028-10-25,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Tug and Tow Operations; Night Operations - All Vessels; LPG Carrier Operations; LNG Carrier Operations,12
